Nombre y tensión del nudo;Código Subestación;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO GENERACIÓN;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;CAPACIDAD DE ACCESO LIBERADA PARA SOLICITUDES DE AUTOCONSUMO SEGÚN  EL REAL DECRETO-LEY 7/2026;;;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso;;;;;;;;;;;;;;;
;;;A red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Limitación interna por configuración del nudo;Margen no ocupado;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Limitación por Posición;;;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;"Capacidad de acceso liberada para MGES 
[MW]";"Capacidad de acceso liberada para MPE 
[MW]";"Capacidad de acceso otorgada para MGES 
[MW]";"Capacidad de acceso otorgada para MPE 
[MW]";"Capacidad de acceso disponible para MGES 
[MW]";"Capacidad de acceso disponible para MPE 
[MW]";;;;;;;;;;;;;;;;;
;;;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";MGES;MPE;MGES;MPE;Capacidad máxima otorgable en el nudo;¿Existe limitación por posición?;Margen MGES;Margen MPE;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";;"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";;;;;;;;;;;;;;;;;;;;;;;
MAGALLON 400;50341;Aragón;;1;;;1.418; N/A ;  ;823;1.880;E65_SEPE;446;2.704;E65_SEPE;1.270;759; N/A ;759;164;595;0;595;0;595;595;0;0;0;0;0;0;0;0;164;164;164;164;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;;5;5;164;164;164;164;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;16;16;0;0;16;16;Concurso;;;;;;;;;;;;;;;;
MAGALLON 220;50341;Aragón;1;;3;;861; N/A ;  ;120;1.867;E65_SEPE;446;2.683;E65_SEPE;1.270;846; N/A ;N/A;7;839;24;742;73;815;839;0;78;0;78;0;78;78;0;7;7;7;7;D_Nudo;D_Nudo;D_Nudo;D_Nudo;400;SI;0;0;0;0;0;7;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. Limitación de capacidad por posición;0;0;7;7;0;0;7;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MAGAÑA 220;50743;Castilla y León;;;;;0; N/A ;  ;0;1.061;E13_SEPE;682;1.236;E13_SEPE;828;1.262; D56_SEPE ;N/A;853;0;0;0;0;0;0;0;0;0;0;0;0;0;0;682;0;828;0;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;0;;0;0;682;0;828;0;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
LLERENA 400;52074;Extremadura;;1;;;649; N/A ;  ;649;977;N/A;977;1.290;N/A;1.290;984; N/A ;984;984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;977;649;984;649;Est_Gen_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;600;600;977;649;984;649;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;98;65;0;0;98;65;Concurso;;;;;;;;;;;;;;;;
MAHON 132;50342;Islas Baleares;8;;;;0; N/A ;  ;0;118;E30_SEB;0;127;E30_SEB;0;169; D4_SEB ;N/A;20;247;247;0;0;0;247;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;WSCR_Nudo/Est_Gen_Zona;Est_Alm_Zona;WSCR_Nudo/Est_Alm_Zona;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MAIALS 400;50343;Cataluña;1;;;;605; N/A ;  ;122;2.220;N/A;1.736;2.240;N/A;1.756;801; N/A ;801;318;483;0;483;0;483;483;0;0;0;0;0;0;0;0;318;122;318;122;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;117;117;318;122;318;122;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;32;12;0;0;32;12;Concurso;;;;;;;;;;;;;;;;
MAJADAHONDA 220;50344;Comunidad de Madrid;;;2;;839; N/A ;  ;839;880;N/A;856;970;N/A;945;725; N/A ;N/A;700;25;0;0;25;25;25;0;55;0;0;55;55;0;55;700;700;700;700;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;;0;0;700;700;700;700;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;70;70;0;0;70;70;Concurso;;;;;;;;;;;;;;;;
MANACOR 66;50345;Islas Baleares;;;3;;26; N/A ; Riesgo interacciones ;7;157;N/A;83;169;N/A;95;243; D3_SEB ;N/A;49;79;5;19;55;74;79;0;17;0;17;0;17;8;9;49;7;49;7;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;#¡VALOR!;;49;7;0;0;0;0;;0;0;49;7;0;0;49;7;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MANCHEGA 400;52077;Castilla-La Mancha;;1;;1;667; N/A ;  ;667;3.968;E322_SEPE;3.104;3.978;E322_SEPE;3.114;2.415; N/A ;1.207;2.415;0;0;0;0;0;0;0;703;0;0;703;703;703;0;2.415;667;2.415;667;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;600;600;2.415;667;2.415;667;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;241;67;0;0;241;67;Concurso;;;;;;;;;;;;;;;;
MANGRANERS 220;50346;Cataluña;;1;2;;624; N/A ;  ;466;1.294;E299_SEPE;884;1.438;E299_SEPE;1.028;798; N/A ;N/A;388;410;158;158;95;252;410;0;0;0;0;0;0;0;0;388;388;388;388;D_Nudo;D_Nudo;D_Nudo;D_Nudo;400;;242;242;388;388;388;388;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;39;39;0;0;39;39;Concurso;;;;;;;;;;;;;;;;
MANUEL BECERRA 220;UFD-50397;Comunidad de Madrid;;;2;;885; N/A ;  ;885;605;N/A;605;712;N/A;712;691; N/A ;N/A;691;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605;605;691;691;Est_Gen_Nudo;Est_Gen_Nudo;D_Nudo;D_Nudo;0;;0;0;0;0;0;0;;0;0;605;605;0;0;691;691;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MANUEL CRUZ 66;50347;Canarias;;;2;;64; N/A ;  ;54;106;N/A;99;109;N/A;99;60; N/A ;N/A;50;10;0;10;0;10;0;10;0;0;0;0;0;0;0;50;50;50;50;D_Nudo;D_Nudo;D_Nudo;D_Nudo;#¡VALOR!;;50;50;0;0;0;0;;0;0;50;50;0;0;50;50;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MANZANARES 400;50348;Castilla-La Mancha;;1;;;1.010; N/A ;  ;669;2.284;E304_SEPE, E82_SEPE;1.943;2.605;E304_SEPE, E82_SEPE;2.264;1.083; N/A ;1.083;742;341;0;341;0;341;341;0;30;0;30;0;30;30;0;742;669;742;669;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;259;259;742;669;742;669;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;74;67;0;0;74;67;Concurso;;;;;;;;;;;;;;;;
MANZANARES 220;50348;Castilla-La Mancha;1;;;;412; N/A ;  ;127;973;E18_SEPE, E82_SEPE;237;1.062;E18_SEPE, E82_SEPE;342;1.201; D55_SEPE ;N/A;465;385;100;285;0;285;385;0;0;0;0;0;0;0;0;237;127;342;127;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;400;;15;15;237;127;342;127;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;23;13;0;0;23;13;Concurso;;;;;;;;;;;;;;;;
MARAGALL 220;50349;Cataluña;;;5;;122; N/A ;  ;122;1.162;N/A;1.162;1.197;N/A;1.197;806; N/A ;N/A;806;0;0;0;0;0;0;0;0;0;0;0;0;0;0;806;122;806;122;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;0;0;0;0;;0;0;806;122;0;0;806;122;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MARIA 220;50350;Aragón;1;1;;;710; N/A ;  ;200;2.800;N/A;2.290;2.849;N/A;2.339;297; N/A ;N/A;0;510;0;510;0;510;510;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;800;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MARRATXI 66;50351;Islas Baleares;;;2;;77; W02_SEB_BIN ; Riesgo interacciones ;41;130;E17_SEB_BIN;70;162;E17_SEB_BIN;113;223; D1_SEB, D6_SEB_BIN ;N/A;100;48;0;36;12;48;39;9;0;0;0;0;0;0;0;70;41;100;41;Est_Gen_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;#¡VALOR!;;70;41;0;0;0;0;;0;0;70;41;0;0;100;41;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MARRATXI (MARRATXI B) 66;50351;Islas Baleares;;;;;131; W02_SEB_BIN ; Riesgo interacciones ;131;76;E17_SEB_BIN;70;100;E17_SEB_BIN;100;219; D6_SEB_BIN ;N/A;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;70;100;100;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Nudo;Est_Alm_Nudo;#¡VALOR!;;70;70;70;70;100;100;Sin posibilidad de conexión. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MARZAGAN 66;50353;Canarias;;;2;;95; N/A ;  ;83;63;E09_SEC;52;69;E09_SEC;52;41; N/A ;N/A;23;18;0;12;6;18;10;8;0;0;0;0;0;0;0;23;23;23;23;D_Nudo;D_Nudo;D_Nudo;D_Nudo;#¡VALOR!;;23;23;0;0;0;0;;0;0;23;23;0;0;23;23;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MAS FIGUERES 220;50354;Cataluña;;;3;;618; N/A ;  ;618;475;N/A;464;552;N/A;541;2.452; N/A ;817;2.441;11;6;0;5;5;11;0;114;0;100;14;114;14;100;464;464;541;541;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;;0;0;464;464;541;541;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;46;46;0;0;46;46;Concurso;;;;;;;;;;;;;;;;
MASDENVERGE 400;51202;Cataluña;;;;1;698; N/A ;  ;698;1.917;N/A;1.779;2.314;N/A;2.175;660; N/A ;660;522;139;50;0;89;89;139;0;0;0;0;0;0;0;0;522;522;522;522;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;;0;0;522;522;522;522;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;66;66;0;0;66;66;Concurso;;;;;;;;;;;;;;;;
MATA 220;50355;Cataluña;;;3;;66; N/A ; Superación valor máx Icc ;66;763;E289_SEPE;763;871;E289_SEPE;871;820; N/A ;N/A;820;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;66;820;66;Est_Gen_Nudo/Est_Gen_Zona;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;0;0;0;0;;0;0;763;66;0;0;820;66;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MATAPORQUERA 220;50356;Cantabria;;;2;1;398; N/A ;  ;272;403;E180_SEPE;72;451;E180_SEPE;109;1.252; N/A ;N/A;910;342;28;127;188;314;332;10;27;0;27;0;27;27;0;72;72;109;109;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;SI;0;0;0;0;0;109;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. Limitación de capacidad por posición;0;0;72;72;0;0;109;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MATAS BLANCAS 132;50357;Canarias;;1;;;13; N/A ;  ;0;202;E24_SEC;178;210;E24_SEC;185;24; N/A ;N/A;12;13;0;13;0;13;13;0;0;0;0;0;0;0;0;12;0;12;0;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;#¡VALOR!;;12;0;0;0;0;0;;12;0;0;0;12;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MATAS BLANCAS 66;50357;Canarias;;;3;;10; N/A ;  ;0;98;E24_SEC;87;102;E24_SEC;90;27; N/A ;N/A;16;11;0;10;1;11;11;0;0;0;0;0;0;0;0;16;0;16;0;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;#¡VALOR!;;16;0;0;0;0;0;;0;0;16;0;0;0;16;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MATORRAL 66;50358;Canarias;1;1;2;;116; N/A ;  ;0;94;N/A;0;100;N/A;0;28; N/A ;N/A;0;137;0;119;18;137;137;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo/D_Nudo;WSCR_Nudo/Est_Gen_Nudo/D_Nudo;Est_Alm_Nudo/D_Nudo;WSCR_Nudo/Est_Alm_Nudo/D_Nudo;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MAZARICOS 220;50359;Galicia;;;2;;241; N/A ;  ;61;808;E330_SEPE;0;930;E330_SEPE;0;1.300; N/A ;N/A;959;341;0;180;161;341;341;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MAZARREDO 220;UFD-50411;Comunidad de Madrid;;;3;;885; N/A ;  ;885;353;N/A;353;613;N/A;613;678; N/A ;N/A;678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;353;353;613;613;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;;0;0;0;0;0;0;;0;0;353;353;0;0;613;613;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MECO 220;50360;Comunidad de Madrid;;;3;;329; N/A ;  ;0;722;E292_SEPE, E346_SEPE;0;833;E292_SEPE, E346_SEPE;210;1.005; D73_SEPE ;N/A;387;617;27;329;262;591;617;0;5;0;0;5;5;5;0;0;0;210;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;WSCR_Nudo;0;;0;0;0;0;210;0;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MEDIANO 220;50361;Aragón;2;;;;317; N/A ;  ;317;500;E200_SEPE;203;556;E200_SEPE;258;1.262; N/A ;N/A;1.195;66;66;0;0;0;66;0;0;0;0;0;0;0;0;203;203;258;258;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;800;;203;203;203;203;258;258;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;20;20;0;0;20;20;Concurso;;;;;;;;;;;;;;;;
MEDINA DEL CAMPO 220;50362;Castilla y León;;1;1;;157; N/A ;  ;0;479;E15_SEPE;0;483;E15_SEPE;0;1.225; D64_SEPE ;N/A;275;495;43;202;249;452;495;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo/Est_Gen_Zona;WSCR_Nudo/Est_Gen_Nudo/Est_Gen_Zona;Est_Alm_Nudo;WSCR_Nudo/Est_Alm_Nudo;400;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MEDINACELI 400;50363;Castilla y León;1;;;;630; N/A ;  ;31;1.772;E201_SEPE;1.173;2.007;E201_SEPE;1.408;1.290; N/A ;1.290;691;599;0;599;0;599;599;0;0;0;0;0;0;0;0;691;31;691;31;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;600;;1;1;691;31;691;31;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;69;3;0;0;69;3;Concurso;;;;;;;;;;;;;;;;
MEDIODIA 220;UFD-50416;Comunidad de Madrid;;;3;;829; N/A ;  ;829;372;E198_SEPE;371;623;E198_SEPE;622;705; N/A ;N/A;704;1;1;0;0;0;1;0;0;0;0;0;0;0;0;371;371;622;622;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;;0;0;0;0;0;0;;0;0;371;371;0;0;622;622;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MEIRAMA 220;50364;Galicia;3;1;2;;179; N/A ;  ;0;749;E244_SEPE;36;778;E244_SEPE;36;811; D10_SEPE ;N/A;0;724;486;234;3;237;301;423;31;0;0;31;31;31;0;0;0;0;0;D_Zona;WSCR_Nudo/D_Zona;D_Zona;WSCR_Nudo/D_Zona;1.600;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NTJ;Orden TED/1469/2024, Orden TED/578/2026;;;;;;;;;;;;;;;
MELANCOLICOS 220;50365;Comunidad de Madrid;;;5;;939; N/A ;  ;939;988;N/A;988;1.062;N/A;1.062;702; N/A ;N/A;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0;702;702;702;702;D_Nudo;D_Nudo;D_Nudo;D_Nudo;0;;0;0;0;0;0;0;;0;0;702;702;0;0;702;702;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MEQUINENZA 400;50366;Aragón;;;;;705; N/A ;  ;705;633;E66_SEPE;281;821;E66_SEPE;469;528; N/A ;N/A;528;0;0;0;0;0;0;0;0;0;0;0;0;0;0;281;281;469;469;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;0;;0;0;281;281;469;469;Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MEQUINENZA 220;50366;Aragón;4;;2;;564; N/A ;  ;564;505;E66_SEPE;153;648;E66_SEPE;296;803; N/A ;N/A;452;351;343;0;9;9;351;0;0;0;0;0;0;0;0;153;153;296;296;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;1.600;;153;153;153;153;296;296;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;13;13;0;0;13;13;Concurso;;;;;;;;;;;;;;;;
MERCADAL 132;50367;Islas Baleares;;1;3;;65; N/A ;  ;24;118;E30_SEB;0;127;E30_SEB;0;224; D4_SEB ;N/A;20;51;0;41;10;51;51;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MERCEDES BENZ 220;50368;País Vasco;;;;;209; N/A ;  ;209;543;E195_SEPE, E335_SEPE;464;611;E195_SEPE, E335_SEPE;611;946; N/A ;N/A;946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;464;209;611;209;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;464;209;611;209;Concurso por resolución SEE. Sin posibilidad de conexión. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;46;21;0;0;46;21;Concurso;;;;;;;;;;;;;;;;
MERIDA 220;50369;Extremadura;;;3;;356; N/A ;  ;310;834;N/A;369;897;N/A;433;1.068; N/A ;N/A;604;464;135;46;284;329;464;0;0;0;0;0;0;0;0;369;310;433;310;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;0;;0;0;369;310;433;310;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;39;31;0;0;39;31;Concurso;;;;;;;;;;;;;;;;
MESON D.V. 400;50370;Galicia;;1;;;809; N/A ;  ;809;2.185;E116_SEPE;1.718;2.756;E116_SEPE;2.293;708; N/A ;N/A;688;20;20;0;0;0;20;0;0;0;0;0;0;0;0;688;688;688;688;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;;600;600;688;688;688;688;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;69;69;0;0;69;69;Concurso;;;;;;;;;;;;;;;;
MESON D.V. 220;50370;Galicia;2;;1;;381; N/A ;  ;0;1.603;E116_SEPE, E2_SEPE;1.048;2.060;E116_SEPE, E2_SEPE;1.510;811; D10_SEPE ;N/A;0;447;3;435;9;444;447;0;0;0;0;0;0;0;0;0;0;0;0;D_Zona;WSCR_Nudo/D_Zona;D_Zona;WSCR_Nudo/D_Zona;800;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MEZQUITA 400;50371;Aragón;;1;;;1.243; N/A ;  ;758;2.866;E61_SEPE;2.048;3.242;E61_SEPE;2.374;406; N/A ;406;0;485;0;485;0;485;485;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Concurso;;;;;;;;;;;;;;;;
MEZQUITA 220;50371;Aragón;1;;;;471; N/A ;  ;88;631;E23_SEPE, E61_SEPE;83;667;E23_SEPE, E61_SEPE;91;1.120; D13_SEPE ;N/A;499;383;0;383;0;383;333;50;269;0;269;0;269;269;0;83;83;91;88;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;WSCR_Nudo;400;;17;17;67;67;74;71;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;17;17;0;0;17;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MINGLANILLA 400;50372;Castilla-La Mancha;1;;;1;1.573; N/A ;  ;639;3.055;N/A;2.121;4.417;N/A;3.483;0; N/A ;0;0;934;0;934;0;934;934;0;0;0;0;0;0;0;0;0;0;0;0;D_Nudo;D_Nudo;D_Nudo;D_Nudo;600;SI;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MIRABAL 220;50799;Andalucía;;1;1;;317; N/A ;  ;217;439;N/A;251;507;N/A;319;1.234; N/A ;N/A;1.046;188;0;100;88;188;188;0;269;0;31;238;269;269;0;251;217;319;217;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;251;217;251;217;319;217;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;25;22;0;0;25;22;Concurso;;;;;;;;;;;;;;;;
MIRANDA DE EBRO 220;50373;Castilla y León;;1;3;;372; N/A ;  ;250;314;E194_SEPE;191;497;E194_SEPE;275;1.177; N/A ;N/A;955;222;73;122;27;149;123;99;902;0;902;0;902;475;428;191;191;275;250;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;0;0;191;191;275;250;Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MIRASIERRA 220;50374;Comunidad de Madrid;;;4;;761; N/A ;  ;761;541;N/A;536;623;N/A;618;780; N/A ;N/A;775;5;5;0;0;0;5;0;0;0;0;0;0;0;0;536;536;618;618;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;;0;0;536;536;618;618;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;54;54;0;0;54;54;Concurso;;;;;;;;;;;;;;;;
MOGAN 66;52084;Canarias;;;;1;12; N/A ;  ;12;121;E07_SEC;77;122;E07_SEC;77;65; N/A ;N/A;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;12;65;12;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;#¡VALOR!;;65;12;0;0;0;0;;0;0;65;12;0;0;65;12;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MOLINES 66;50375;Islas Baleares;;;3;;59; N/A ; Riesgo interacciones ;0;91;N/A;58;117;N/A;58;219; N/A ;N/A;160;59;0;59;0;59;0;59;0;0;0;0;0;0;0;58;0;58;0;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;#¡VALOR!;;58;0;0;0;0;0;;0;0;58;0;0;0;58;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
MONCAYO 220;50376;Castilla y León;;1;2;;555; N/A ;  ;280;558;E338_SEPE;243;561;E338_SEPE;246;1.111; N/A ;N/A;796;315;15;275;25;300;315;0;755;0;755;0;755;710;45;243;243;246;246;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;400;;243;243;243;243;246;246;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;24;24;0;0;24;24;Concurso;;;;;;;;;;;;;;;;
