Nombre y tensión del nudo;Código Subestación;Comunidad Autónoma;POSICIONES DE GEN/ALM;;;;CRITERIO DE POTENCIA DE CORTOCIRCUITO (WSCR);;;;CRITERIO ESTÁTICO GENERACIÓN;;;CRITERIO ESTÁTICO ALMACENAMIENTO;;;CRITERIO DINÁMICO;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO OTORGADA;;;;;;;SITUACIÓN NUDO CAPACIDAD DE ACCESO EN CURSO DE TRAMITACIÓN;;;;;;;MARGEN DE CAPACIDAD DE ACCESO TOTAL;;;;CRITERIOS LIMITANTES;;;;;;;;CAPACIDAD DE ACCESO NO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;CAPACIDAD DE ACCESO DISPONIBLE PARA SOLICITUDES A LA RED DE TRANSPORTE Y ACEPTABILIDADES;;;;;;;;CAPACIDAD DE ACCESO LIBERADA PARA SOLICITUDES DE AUTOCONSUMO SEGÚN  EL REAL DECRETO-LEY 7/2026;;;;;;Motivo de reserva de capacidad de acceso en el nudo;Normativa específica reguladora de la concesión de la capacidad de acceso;;;;;;;;;;;;;;;
;;;A red de transporte;;A red de distribución;;Capacidad de acceso nodal;Binudos;Afección de CS a seguridad del sistema;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Margen no ocupado;Capacidad de acceso nodal; Zona con capacidad compartida a la que pertenece el nudo;Limitación interna por configuración del nudo;Margen no ocupado;Capacidad de acceso otorgada MGE;Capacidad de acceso otorgada MGES;Capacidad de acceso otorgada MPE con afección WSCR;Capacidad de acceso otorgada MPE sin afección WSCR;Capacidad de acceso otorgada MPE;Capacidad de acceso otorgada GEN;Capacidad de acceso otorgada ALM;Capacidad de acceso solicitada en curso y pendiente resolver MGE;Capacidad de acceso solicitada en curso y pendiente resolver MGES;Capacidad de acceso solicitada en curso y pendiente resolver MPE con afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE sin afección WSCR;Capacidad de acceso solicitada en curso y pendiente resolver MPE;Capacidad de acceso solicitada en curso y pendiente resolver GEN;Capacidad de acceso solicitada en curso y pendiente resolver ALM;Generación;;Almacenamiento;;Generación;;Almacenamiento;;Limitación por Posición;;;;Generación;;Almacenamiento;;Motivo capacidad no disponible;Generación;;;;Almacenamiento;;;;"Capacidad de acceso liberada para MGES 
[MW]";"Capacidad de acceso liberada para MPE 
[MW]";"Capacidad de acceso otorgada para MGES 
[MW]";"Capacidad de acceso otorgada para MPE 
[MW]";"Capacidad de acceso disponible para MGES 
[MW]";"Capacidad de acceso disponible para MPE 
[MW]";;;;;;;;;;;;;;;;;
;;;E;P;E;P;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";MGES;MPE;MGES;MPE;Capacidad máxima otorgable en el nudo;¿Existe limitación por posición?;Margen MGES;Margen MPE;"MGES 
[MW]";"MPE
[MW]";"MGES 
[MW]";" MPE
[MW]";;"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";"MGES RdTo MPE con compensador síncrono RdT
[MW]";"MPE RdT
[MW]";"MGES RdD, MPE no conectado al primer nivel de transformación RdD o MPE con compensador síncrono RdD
[MW]";"MPE RdD
[MW]";;;;;;;;;;;;;;;;;;;;;;;
AGUAYO 400;50009;Cantabria;1;1;;;636; N/A ;  ;636;1.779;E71_SEPE;440;1.980;E71_SEPE;440;1.951; N/A ;976;957;994;994;0;0;0;0;994;0;0;0;0;0;0;0;440;440;440;440;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;1.200;;206;206;440;440;440;440;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;44;44;0;0;44;44;Concurso;;;;;;;;;;;;;;;;
AGUAYO 220;50009;Cantabria;2;1;;;644; N/A ;  ;460;1.440;E71_SEPE;440;1.658;E71_SEPE;440;1.076; N/A ;N/A;530;546;362;184;0;184;184;362;0;0;0;0;0;0;0;440;440;440;440;Est_Gen_Zona;Est_Gen_Zona;Est_Alm_Zona;Est_Alm_Zona;1.200;;440;440;440;440;440;440;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;44;44;0;0;44;44;Concurso;;;;;;;;;;;;;;;;
AGÜIMES 66;50702;Canarias;1;;;;61; N/A ;  ;22;96;E08_SEC;0;98;E08_SEC;0;34; N/A ;N/A;0;39;0;39;0;39;39;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Zona/D_Nudo;Est_Gen_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;Est_Alm_Zona/D_Nudo;#¡VALOR!;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALARCOS 220;50010;Castilla-La Mancha;;1;4;;207; N/A ;  ;207;485;N/A;214;587;N/A;315;1.270; N/A ;N/A;998;272;9;0;262;262;272;0;50;0;0;50;50;50;0;214;207;315;207;Est_Gen_Nudo;WSCR_Nudo;Est_Alm_Nudo;WSCR_Nudo;400;;214;207;214;207;315;207;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;21;21;0;0;21;21;Concurso;;;;;;;;;;;;;;;;
ALBAL 220;50011;Comunidad Valenciana;;;2;;647; N/A ;  ;647;249;N/A;246;311;N/A;308;796; N/A ;N/A;793;3;3;0;0;0;3;0;17;0;0;17;17;8;9;246;246;308;308;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;0;;0;0;246;246;308;308;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;25;25;0;0;25;25;Concurso;;;;;;;;;;;;;;;;
ALBARELLOS 220;50012;Galicia;2;;2;;214; N/A ;  ;1;285;E1_SEPE;0;285;E1_SEPE;0;853; D35_SEPE ;N/A;320;296;82;213;0;213;296;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo;Est_Gen_Nudo;Est_Alm_Nudo;Est_Alm_Nudo;800;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
ALBATARREC 220;50013;Cataluña;;1;2;;624; N/A ;  ;324;105;E204_SEPE;0;131;E204_SEPE;0;820; N/A ;N/A;508;312;0;300;12;312;312;0;0;0;0;0;0;0;0;0;0;0;0;Est_Gen_Nudo/Est_Gen_Zona;Est_Gen_Nudo/Est_Gen_Zona;Est_Alm_Nudo/Est_Alm_Zona;Est_Alm_Nudo/Est_Alm_Zona;400;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Concurso;;;;;;;;;;;;;;;;
ALCIRA 220;50014;Comunidad Valenciana;;;3;;122; N/A ;  ;114;1.112;E240_SEPE;1.020;1.250;E240_SEPE;1.164;322; D39_SEPE ;N/A;226;87;29;7;51;58;87;0;167;0;0;167;167;38;129;226;114;226;114;D_Zona;WSCR_Nudo;D_Zona;WSCR_Nudo;0;;0;0;226;114;226;114;Concurso por resolución SEE. Margen zonal reservado concurso por resolución SEE/posible concurso/NTJ. ;0;0;0;0;0;0;0;0;23;11;0;0;23;11;Concurso;;;;;;;;;;;;;;;;
ALCOBENDAS 220;50015;Comunidad de Madrid;;;3;;394; N/A ;  ;394;802;N/A;802;852;N/A;852;763; N/A ;N/A;763;0;0;0;0;0;0;0;0;0;0;0;0;0;0;763;394;763;394;D_Nudo;WSCR_Nudo;D_Nudo;WSCR_Nudo;0;;0;0;763;394;763;394;Concurso por resolución SEE. ;0;0;0;0;0;0;0;0;76;39;0;0;76;39;Concurso;;;;;;;;;;;;;;;;
ALCOCERO DE MOLA 220;50016;Castilla y León;2;1;;1;412; N/A ;  ;1;1.027;E178_SEPE;164;1.203;E178_SEPE;611;1.183; N/A ;N/A;756;426;16;410;0;410;426;0;1.418;0;302;1.116;1.418;941;477;164;1;611;1;Est_Gen_Zona;WSCR_Nudo;Est_Alm_Zona;WSCR_Nudo;1.200;;164;1;0;0;447;0;;164;1;164;1;164;1;611;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
